Branch,Component,Gender,hip_height,neck_height,chest_circumference,chest_height,foot_length,functional_leg_length,hand_length,shoulder_circumference,sitting_height,span,waist_circumference,waist_depth,weight_kg,height_m
Combat Arms,Regular Army,Male,1467,1535,1074,1292,273,1136,193,1151,928,1782,933,240,81.5,1.776
Combat Support,Regular Army,Male,1395,1471,1021,1244,263,1096,195,1119,884,1745,870,225,72.6,1.702
Combat Support,Regular Army,Male,1430,1501,1120,1288,270,1115,203,1276,917,1867,964,255,92.9,1.735
Combat Service Support,Regular Army,Male,1347,1423,1114,1205,267,1034,194,1155,903,1708,857,205,79.4,1.655
Combat Service Support,Regular Army,Male,1585,1684,1048,1452,305,1279,218,1231,919,2035,868,214,94.6,1.914
Combat Service Support,Regular Army,Male,1407,1489,1066,1253,254,1126,190,1172,898,1817,950,244,80.2,1.72
Combat Service Support,Regular Army,Male,1476,1571,1208,1372,285,1202,220,1331,957,1965,1073,274,116.2,1.81
Combat Service Support,Regular Army,Male,1529,1612,1087,1359,281,1169,198,1188,952,1939,1010,267,95.4,1.85
Combat Service Support,Regular Army,Male,1457,1536,1181,1312,266,1154,197,1212,922,1812,1065,300,99.5,1.777
Combat Support,Regular Army,Male,1481,1564,964,1340,278,1143,200,1094,932,1918,824,212,70.2,1.811
Combat Service Support,Regular Army,Male,1450,1527,1117,1311,265,1093,200,1203,969,1840,994,254,88.2,1.78
Combat Service Support,Regular Army,Male,1416,1509,961,1272,256,1136,194,1126,871,1823,866,212,70.1,1.733
Combat Support,Regular Army,Male,1504,1597,1151,1367,291,1217,210,1275,906,1995,986,260,103.7,1.814
Combat Service Support,Regular Army,Male,1539,1623,1231,1374,274,1219,194,1354,966,1956,1045,267,111.6,1.861
Combat Arms,Regular Army,Male,1379,1476,1060,1254,266,1144,184,1149,918,1726,1007,243,89.6,1.709
Combat Service Support,Regular Army,Male,1460,1511,1092,1306,278,1183,203,1224,864,1883,1033,297,92.4,1.74
Combat Arms,Regular Army,Male,1384,1461,1085,1265,270,1128,188,1145,899,1739,908,231,77.9,1.694
Combat Service Support,Regular Army,Male,1455,1522,1118,1331,270,1140,203,1152,929,1828,1028,268,96.9,1.766
Combat Arms,Regular Army,Male,1427,1518,999,1293,266,1132,179,1140,915,1749,874,208,76,1.748
Combat Arms,Regular Army,Male,1468,1533,1127,1322,277,1143,198,1146,969,1850,999,259,90.8,1.794
Combat Arms,Regular Army,Male,1450,1520,1000,1276,275,1146,195,1125,949,1846,837,199,71.4,1.78
